,Company Name,Twitter ID,Followers Count,Friends Count,Verified
0,Insight Enterprises,@InsightEnt,5686,935,TRUE
1,Co-op Finance,@coop_finance,4003,942,FALSE
2,Raycon,@rayconglobal,2397,33,FALSE
3,Uline,@uline,3845,3,FALSE
4,Success Academy,@SuccessCharters,11231,1488,TRUE
5,CAPSLO,@CAP_slo,118,435,FALSE
6,Beazley Group,@BeazleyGroup,4887,231,FALSE
7,C&L Aviation Group,@CLAviationGroup,560,148,FALSE
8,Gensco,@genscoinc,101,8,FALSE
9,Cenlar FSB,@CenlarFSB,92,9,FALSE
10,Comscore,@Comscore,136782,28480,TRUE
11,Airgas,@airgas,2205,191,FALSE
12,Intrado Digital Media,@IntradoDigital,361,79,FALSE
13,IEHP,@IEHP_healthcare,1216,1053,FALSE
14,BankUnited,@BankUnited,5446,305,FALSE
15,Innovyze,@Innovyze,1661,1959,FALSE
16,Argo Group,@argo_group,10895,768,TRUE
17,American Family Insurance,@amfam,42858,4450,TRUE
18,DentaQuest,@DentaQuest,3830,2502,TRUE
19,Peraton,@PeratonCorp,1295,104,FALSE
20,TennCare,@TennCareRep,1180,122,FALSE
21,Associated Electric,@AssociatedEC,96,28,FALSE
22,Quotient,@quotient,897,1588,FALSE
23,Revantage Corporate Services,@RevantageS,17,4,FALSE
24,BankUnited,@BankUnited,5446,305,FALSE
25,Spectrum Health,@SpectrumHealth,12633,1413,FALSE
26,JDRF,@JDRF,63034,1791,TRUE
27,Honda Aircraft Co.,@hondajet,9986,195,TRUE
28,National Insurance,@NICLofficial,2647,89,FALSE
29,Navy Federal,@NavyFederal,81487,351,TRUE
30,DRB Systems,@tunneldrb,132,81,FALSE
31,NCSOFT,@NCSOFT_West,37436,63,FALSE
32,CALIBRE Systems,@CALIBRE_Systems,55,167,FALSE
33,Guardian Life,@guardianlife,11780,86,TRUE
34,Veritone,@veritoneinc,3607,2548,FALSE
35,PrecisionHawk,@PrecisionHawk,13776,1066,FALSE
36,Airship,@airship,12694,8203,TRUE
37,Envision IT,@envisionitllc,76,25,FALSE
38,FHLBank Pittsburgh,@FHLBankPgh,334,161,FALSE
39,Urban Science,@Urban_Science,283,365,FALSE
40,AllianceBernstein (AB),@AB_insights,22657,813,TRUE
41,Twitch,@Twitch,6452958,666,TRUE
42,Intuitive Research,@its_intuitive,199,67,FALSE
43,Cogo Labs ðŸš€,@CogoLabs,1493,1138,FALSE
44,CNA,@CNA_org,5840,1414,FALSE
45,NEPC,@NEPCtweet,6637,1920,FALSE
46,Centric Consulting,@centric,2037,1309,FALSE
47,Ascension,@Ascensionorg,6690,391,FALSE
48,Peterson Technology Partners,@PTPChicago,782,722,FALSE
49,GreatAmerica OEG,@greatamericaOEG,1096,511,FALSE
50,Smith,@smithweb,1813,1523,FALSE
51,Life360,@Life360,14871,7970,TRUE
52,National Interstate Insurance,@NATLCareers,897,4182,FALSE
53,iSeatz,@iSeatzcom,452,675,FALSE
54,MobilityWare,@MobilityWare,5407,181,FALSE
55,Axiom Healthcare Strategies,@axiomhcs,58,100,FALSE
56,WA Healthplanfinder,@WAplanfinder,3633,2466,TRUE
57,Johns Hopkins Medicine,@HopkinsMedicine,582197,903,TRUE
58,Western Asset,@WesternAsset,989,46,FALSE
59,Powersolv Inc.,@PowersolvInc,7,3,FALSE
60,PatientPoint,@patientpoint,3810,3213,FALSE
61,KIPP New Jersey,@KIPPNJ,1724,449,FALSE
62,Jam City,@JamCityHQ,23915,779,TRUE
63,PenFed Credit Union,@PenFed,4483,886,TRUE
64,TriNet,@TriNet,28714,308,TRUE
65,Torch Technologies,@TorchHuntsville,582,239,FALSE
66,PepsiCo,@PepsiCo,343178,12933,TRUE
67,CircleCI,@CircleCI,40760,5424,TRUE
68,Essential,@essential,63333,19,TRUE
69,Intuitive,@IntuitiveSurg,7523,186,FALSE
70,CenturyLink,@CenturyLink,35916,453,TRUE
71,DRT Strategies,@DRTStrategies,180,184,FALSE
72,UNOS,@UNOSNews,10074,6716,FALSE
73,Maximus Real Estate Partners,@maximuspartners,111,137,FALSE
74,Celerity,@CelerityITLLC,868,1331,FALSE
75,We Are OCHIN,@OCHINinc,1059,1323,FALSE
76,Novetta,@Novettasol,1854,2094,FALSE
77,ConnectiveRx,@ConnectiveRx,149,111,FALSE
78,DealCloud,@DealCloudNation,918,798,FALSE
79,El Camino Health,@elcaminohealth,3095,588,FALSE
80,MathWorks,@MathWorks,18451,71,TRUE
81,Freedman HealthCare,@FreedmanHC,207,620,FALSE
82,CBHC,@CBHC_News,1168,1155,FALSE
83,ShorePoint Inc.,@ShorePointInc,145,119,FALSE
84,Comfy,@comfyapp,1991,656,FALSE
85,SyllogisTeks,@syllogisteks,140,159,FALSE
86,Synechron,@Synechron,3158,1422,FALSE
87,Welldoc,@Welldoc,1986,1314,FALSE
88,MassMutual,@massmutual,36299,166,TRUE
89,Macro Solutions,@_Macrosolutions,4,2,FALSE
90,BCBSA Tweets,@BCBSAssociation,28048,2455,TRUE
91,Trellis Rx,@trellisrx,115,131,FALSE
92,KnowBe4,@KnowBe4,9188,330,FALSE
93,The Washington Post,@washingtonpost,15583945,1657,TRUE
94,Volkswagen USA,@VW,593324,41,TRUE
95,Visiting Nurse Service of New York,@VNSNY_News,6628,3822,FALSE
96,Dole Tweets,@DoleTweets,16141,677,TRUE
97,Colgate-Palmolive,@CP_News,34070,562,FALSE
98,Welbilt,@WelbiltInc,4295,708,FALSE
99,BEHR Paint,@BehrPaint,29958,581,TRUE
100,Northrop Grumman,@northropgrumman,211744,668,TRUE
101,Sally Beauty,@SallyBeauty,64432,81,TRUE
102,Great Lakes Cheese,@GrtLakesCheese,669,274,FALSE
103,Advanced Technology Services (ATS),@AdvancedTechATS,958,1671,FALSE
104,King's Hawaiian,@KingsHawaiian,16570,4434,TRUE
105,Sam Schwartz,@SamSchwartzEng,1316,648,FALSE
106,GhirardelliChocolate,@LoveGhirardelli,18375,1603,TRUE
107,Agilent Technologies,@Agilent,26131,66,FALSE
108,Blue Buffalo,@bluebuffalo,14412,3020,TRUE
109,Uline,@uline,3845,3,FALSE
110,WAXIE,@WAXIEbuzz,2186,1294,FALSE
111,Cenero,@CeneroAV,543,399,FALSE
112,Kroger,@kroger,159888,276,TRUE
113,Telaid,@TeamTelaid,105,234,FALSE
114,Natera,@NateraGenetics,14996,16337,FALSE
115,Herdt Consulting,@HerdtConsulting,63,50,FALSE
116,Sonos,@Sonos,157692,10174,TRUE
117,MODE Transportation,@MODETrans,797,936,FALSE
118,AmerisourceBergen,@Healthcare_ABC,4783,387,FALSE
119,Power Design,@PowerDesignInc,807,382,FALSE
120,FEMA,@fema,809843,724,TRUE
121,ORBIS Corporation,@orbiscorp,809,409,FALSE
122,ManTech,@ManTech,3517,352,FALSE
123,Ready Pac Foods,@readypacfoods,6176,1195,FALSE
124,Ferrara,@FerraraUSA,4526,4384,FALSE
125,Alliance Solutions G,@alliancesg,361,266,FALSE
126,Scotts Miracle-Gro,@Scotts_MGro,6485,3359,TRUE
127,Lumentum,@Lumentum,1179,171,FALSE
128,miltenyibiotec,@miltenyibiotec,8181,940,FALSE
129,bioMÃ©rieux,@biomerieux,6512,808,FALSE
130,Essilor Group,@Essilor,14818,146,FALSE
131,CME Group,@CMEGroup,693928,6501,TRUE
132,MISUMI USA,@usa_misumi,1940,1612,FALSE
133,ICON Health Club,@ICONHealthClub,952,278,FALSE
134,HairClub,@HairClub,4758,2569,FALSE
135,charliesproduce,@CharliesProduce,831,576,FALSE
136,Ecolab,@Ecolab,16857,1241,TRUE
137,UNFI,@UNFI,8335,601,FALSE
138,Henkel,@Henkel,19615,65,TRUE
139,Driscoll's Berries,@driscollsberry,22237,4575,TRUE
140,Stevens Industries,@Stevens_Ind,467,1308,FALSE
141,Caddell Construction,@CaddellConst,343,182,FALSE
142,Sabra,@Sabra,20719,6456,TRUE
143,Bimeda,@Bimeda_Ireland,368,181,FALSE
144,Facebook,@Facebook,13460372,728,TRUE
145,Arthrex,@Arthrex,6357,219,FALSE
146,Kelly,@KellyServices,12593,962,TRUE
147,Perfect Day,@PerfectDayFoods,4123,359,FALSE
148,Honeywell,@honeywell,53742,317,TRUE
149,Philz Coffee,@PhilzCoffee,25385,8103,TRUE
150,FreedomPay,@freedompay,869,1027,FALSE
151,Duluth Trading Co.,@DuluthTradingCo,15362,756,TRUE
152,Perrigo Company plc,@PerrigoCompany,738,41,FALSE
153,mGage,@mGageLLC,4305,4407,FALSE
154,Belden Inc.,@BeldenInc,5246,1562,FALSE
155,Saint-Gobain,@saintgobain,21009,1781,TRUE
156,Daktronics,@Daktronics,7797,1384,FALSE
157,GAF Roofing,@gafroofing,19052,5290,TRUE
158,Northstone,@NorthstoneInc,67,45,FALSE
159,Campbell Soup Co,@CampbellSoupCo,92923,51,TRUE
160,Perfetti Van Melle Official,@PVM_Official,421,66,FALSE
161,Arrow Electronics,@ArrowGlobal,26635,1574,TRUE
162,Lockheed Martin,@LockheedMartin,429651,450,TRUE
163,RB,@discoverRB,18599,2005,TRUE
164,Sparton Corporation,@SpartonCorp,433,195,FALSE
165,Adient,@Adient,10131,583,TRUE
166,Cook Children's,@CookChildrens,17475,7111,TRUE
167,Lexington Medical,@LexMedCtr,5625,2394,FALSE
168,Coyote Logistics,@CoyoteLogistics,8409,2023,FALSE
169,CambridgeSystematics,@Camsys,1237,274,FALSE
170,miltenyibiotec,@miltenyibiotec,8181,940,FALSE
171,Cargill,@Cargill,54750,264,TRUE
172,Randstad USA,@RandstadUSA,17019,8344,FALSE
173,TOMS,@TOMS,1911075,185760,TRUE
174,FLUX,@FLUX_AHF,118,91,FALSE
175,Inframark,@PurePartnership,488,84,FALSE
176,Amazon,@amazon,3271498,50,TRUE
177,BVI,@BVIMedical,63,21,FALSE
178,Intellipro Group Inc,@IntelliproGroup,9,2,FALSE
179,Collabera,@Collabera,2375,1214,FALSE
180,Johnsonville,@Johnsonville,28060,13932,TRUE
181,Triumph Group,@TriumphGroup,783,62,FALSE
182,Devoted Health,@DevotedHealth,2195,26,FALSE
183,Quality Consulting,@CareersQCG,56,30,FALSE
184,Avanos Medical,@AvanosMedical,273,23,FALSE
185,Angie's List, @AngiesList,38643,2997,TRUE
186,Octagon, @Octagon,17406,935,TRUE
187,Gensco, @genscoinc,101,8,FALSE
188,Farelogix Inc., @Farelogix,2455,1277,FALSE
189,Carilion Clinic, @CarilionClinic,6634,980,FALSE
190,"Equiscript, LLC", @Equiscript,428,1034,FALSE
191,BCBSA Tweets, @BCBSAssociation,28047,2455,TRUE
192,LogicSource, @LogicSource,303,378,FALSE
193,Northrop Grumman, @northropgrumman,211742,668,TRUE
194,NewDay USA, @NewDayUSA,498,213,FALSE
195,SargentoCheese, @SargentoCheese,21049,549,TRUE
196,ITC Defense Corp., @itc_defense,383,962,FALSE
197,KSM Consulting, @KSM_Consulting,1141,1146,FALSE
198,Evolve IP, @EvolveIP,3176,3556,FALSE
199,Dayton Freight, @DaytonFreight,909,169,FALSE
200,Investors Title, @invtitle,12,4,FALSE
201,Light Collective, @lightcollective,6799,608,FALSE
202,Avian, @ThisizAvian,498,315,FALSE
203,Arteriors, @ArteriorsHome,15218,1730,FALSE
204,Sphere standards, @SpherePro,8399,1859,FALSE
205,JDRF, @JDRF,63034,1791,TRUE
206,Qualifacts Systems, @Qualifacts,758,411,FALSE
207,CareFirst BlueCross BlueShield, @CareFirst,4865,1439,FALSE
208,Equitable, @EquitableFin,15957,985,TRUE
209,Belcampo, @Belcampoinc,423,190,FALSE
210,Planet Fitness, @PlanetFitness,149967,9122,TRUE
211,Ecolab, @Ecolab,16857,1241,TRUE
212,Uline, @uline,3845,3,FALSE
213,Hargray, @HargrayComm,975,313,FALSE
214,Fluidigm, @fluidigm,6403,2848,FALSE
215,USDM Life Sciences, @USDMLifeScience,284,235,FALSE
216,Northwestern Mutual, @NMCareers,517,432,FALSE
217,The MIL Corporation, @TheMILCorp,109,79,FALSE
218,"TSCTI, Inc.", @tscti1997,107,47,FALSE
219,Willis Towers Watson, @WTWcorporate,5551,95,FALSE
220,LeanData, @LeanData,3271,4472,FALSE
221,US Auto Parts, @usautoparts,1210,69,FALSE
222,Perfecta, @PerfectaISRC,87,198,FALSE
223,U.Group, @UGroupSocial,2912,2044,FALSE
224,T-Mobile, @TMobile,1232833,12756,TRUE
225,FRT Services, @FRTservices,131,295,FALSE
226,Centric Consulting, @centric,2037,1309,FALSE
227,Oregon Mutual Ins., @OregonMutual,364,126,FALSE
228,Wichita Tribe, @Wichita_Tribe,442,56,FALSE
229,The MIL Corporation, @TheMILCorp,109,79,FALSE
230,Tabner Inc, @Tabnerglobal,43,101,FALSE
231,Treehouse, @treehouse,148092,844,TRUE
232,Hargray, @HargrayComm,975,313,FALSE
233,Evoqua, @evoqua,1229,20,FALSE
234,VRI Resorts, @VRIVacations,304,166,FALSE
235,nmfinancial, @nmfinancial,9049,62,TRUE
236,IEEFA.org, @ieefa_institute,5326,849,FALSE
237,Sunnova Energy, @Sunnova_Solar,1591,1343,FALSE
238,duckcreektech, @DuckCreekTech,2681,818,FALSE
239,Revenue Solutions, @revenuesol,17,126,FALSE
240,ReedGroup, @ReedGrp,589,355,FALSE
241,Airgas, @airgas,2205,191,FALSE
242,SEP_LA, @StrategicEmp,30,61,FALSE
243,FHLBC, @FHLBC,566,330,FALSE
244,Insight Enterprises, @InsightEnt,5686,935,TRUE
245,Skyline Chili, @Skyline_Chili,43280,1297,TRUE
246,Positec Tool Corp., @Positec,127,93,FALSE
247,The MIL Corporation, @TheMILCorp,109,79,FALSE
248,"HM Electronics, Inc.", @HME_Drive_Thru,183,557,FALSE
249,JRNI, @JRNI_inc,2342,1307,FALSE
250,HRUCKUS, @hruckus,11,7,FALSE
251,Mortgage Center, @Mortgage_Center,94,122,FALSE
252,Lincoln Financial, @lincolnfingroup,9489,245,TRUE
253,"Group O, Inc.", @GroupOInc,479,666,FALSE
254,Terakeet, @Terakeet,1320,661,FALSE
255,Thornburg Funds, @ThornburgFunds,19023,497,TRUE
256,Dendreon Pharmaceuticals, @DendreonNews,2497,1043,FALSE
257,Radius Global, @Radius_Global,101,77,FALSE
258,CO-OP FS, @COOPFS,15803,6632,FALSE
259,CAPSLO HR, @CAPSLO_HR,371,387,FALSE
260,Willis Towers Watson, @WTWcorporate,5551,95,FALSE
261,Harbor Freight Tools, @HarborFreight,34093,318,TRUE
262,MorganFranklin, @MorganFranklin,1184,1667,FALSE
263,Red Collar Pet Food, @RedCollarPet,8,0,FALSE
264,ECRI Institute Asia Pacific, @ECRI_AsiaPac,22,3,FALSE
265,Triumph Group, @TriumphGroup,783,62,FALSE
266,BEHR Paint, @BehrPaint,29959,581,TRUE
267,EastBancTech, @EastBancTech,2337,493,FALSE
268,Navy Federal, @NavyFederal,81487,351,TRUE
269,Powersolv Inc., @PowersolvInc,7,3,FALSE
270,Market Traders (MTI), @MarketTraders,6788,26,FALSE
271,ManTech, @ManTech,3517,352,FALSE
272,TIBCO, @TIBCO,21330,4210,TRUE
273,Ciber Global, @ciberglobal,4206,2755,FALSE
274,Medidata, @Medidata,10526,4114,FALSE
275,USDM Life Sciences, @USDMLifeScience,284,235,FALSE
276,The MIL Corporation, @TheMILCorp,109,79,FALSE
277,UNFI, @UNFI,8335,601,FALSE
278,Campus Management, @CampusMgmt,952,539,FALSE
279,"S3, Inc.", @S3Inc,47,34,FALSE
280,Empower Retirement, @EmpowerToday,42420,175,TRUE